journal,SJR
journal fur urologie und urogynakologie,"0,100"
journal of austrian studies,"0,100"
journal of managed care medicine,"0,100"
journal of philosophy arhe,"0,100"
journal of planning and environment law,"0,100"
journal of south india medicolegal association,"0,100"
journal of the institute of telecommunications professionals,"0,100"
journal of the west,"0,100"
kenyon review,"0,100"
keria,"0,100"
kirchliche zeitgeschichte,"0,100"
knitting international,"0,100"
knjizevna smotra,"0,100"
konteksty,"0,100"
landfall,"0,100"
latina et graeca,"0,100"
lebenswelt,"0,100"
lingua nostra,"0,100"
linguistica lettica,"0,100"
litera,"0,100"
literatur und kritik,"0,100"
literaturna misal,"0,100"
litterature,"0,100"
lotus international,"0,100"
louvain medical,"0,100"
machinery and production engineering,"0,100"
magyar filozofiai szemle,"0,100"
maia-rivista di letterature classiche,"0,100"
manufacturing engineering,"0,100"
margens,"0,100"
massachusetts review,"0,100"
master drawings,"0,100"
medecine therapeutique pediatrie,"0,100"
medioevo romanzo,"0,100"
medizintechnik,"0,100"
melliand international,"0,100"
metall,"0,100"
metiers de la petite enfance,"0,100"
missouri review,"0,100"
modern drama,"0,100"
montana,"0,100"
motor ship,"0,100"
musikforschung,"0,100"
muttersprache,"0,100"
nashim,"0,100"
nauchnyy vestnik moskovskoy konservatorii,"0,100"
naval architect,"0,100"
nederlands tijdschrift voor dermatologie en venereologie,"0,100"
neue zeitschrift fur musik,"0,100"
neuro-ophthalmology japan,"0,100"
new electronics,"0,100"
new england review-middlebury series,"0,100"
new york history,"0,100"
nineteenth-century gender studies,"0,100"
nka,"0,100"
north american review,"0,100"
northern logger and timber processor,"0,100"
nouvelle revue francaise,"0,100"
oeil,"0,100"
oltreoceano,"0,100"
o+p fluidtechnik,"0,100"
operations engineer,"0,100"
option/bio,"0,100"
oregon historical quarterly,"0,100"
ortho magazine,"0,100"
oto-rhino-laryngology tokyo,"0,100"
outre-mers,"0,100"
oxymag,"0,100"
paj - journal of performance and art,"0,100"
paper360,"0,100"
papers on french seventeenth century literature,"0,100"
parabola,"0,100"
paris review,"0,100"
parole de l'orient,"0,100"
pensee plurielle,"0,100"
perspective,"0,100"
petroleum economist,"0,100"
pharmaceutical technology europe,"0,100"
pharmaceutisch weekblad,"0,100"
pharmacy times,"0,100"
pharmazeutische zeitung,"0,100"
philobiblon,"0,100"
philologus,"0,100"
philosophische rundschau,"0,100"
plastics technology,"0,100"
poetry,"0,100"
poetry review,"0,100"
poligramas,"0,100"
polish review,"0,100"
positif,"0,100"
"poznanskie studia polonistyczne, seria literacka","0,100"
poznanskie studia slawistyczne,"0,100"
prace filologiczne. literaturoznawstwo,"0,100"
prace historyczne,"0,100"
prace literaturoznawcze,"0,100"
practica otologica,"0,100"
"practica otologica, supplement","0,100"
practice nurse,"0,100"
printed circuit design and fab,"0,100"
printing impressions,"0,100"
proceedings - rapid excavation and tunneling conference,"0,100"
prospettiva,"0,100"
przeglad archiwalny instytutu pamieci narodowej,"0,100"
przeglad zachodniopomorski,"0,100"
przekladaniec,"0,100"
przestrzenie teorii,"0,100"
publishing and printing,"0,100"
pz prisma,"0,100"
quaestio,"0,100"
quebec journal of international law,"0,100"
queens quarterly,"0,100"
quetes litteraires,"0,100"
radix,"0,100"
rassegna della letteratura italiana,"0,100"
recherches germaniques,"0,100"
reflexe,"0,100"
res gestae,"0,100"
resource recycling,"0,100"
review - literature and arts of the americas,"0,100"
reviews in american history,"0,100"
revisiones en cancer,"0,100"
revista aequitas,"0,100"
revista archai,"0,100"
revista de direito civil contemporaneo,"0,100"
revista de estudios hispanicos,"0,100"
revista de letras,"0,100"
revista de obras publicas,"0,100"
revista do instituto historico e geografico do rio grande do sul,"0,100"
revue de l'art,"0,100"
revue des musees de france,"0,100"
revue des sciences humaines,"0,100"
revue d'histoire de l'amerique francaise,"0,100"
revue du nord,"0,100"
revue historique,"0,100"
revue italienne d'etudes francaises,"0,100"
revue thomiste,"0,100"
ricerche di storia dell arte,"0,100"
rime rivista dell'istituto di storia dell'europa mediterranea,"0,100"
rivista di cultura classica e medioevale,"0,100"
rivista di filosofia neo-scolastica,"0,100"
rivista di letterature moderne e comparate,"0,100"
rivista di storia della chiesa in italia,"0,100"
rivista italiana di storia internazionale,"0,100"
rlc - revue de litterature comparee,"0,100"
romantisme,"0,100"
salmagundi,"0,100"
samuel beckett today - aujourd'hui,"0,100"
sante mentale et droit,"0,100"
savoirs et clinique,"0,100"
scandinavian journal of the old testament,"0,100"
sculpture review,"0,100"
seibutsu-kogaku kaishi,"0,100"
seikagaku,"0,100"
sel - studies in english literature,"0,100"
sewanee review,"0,100"
sguardo,"0,100"
shaw,"0,100"
silicon semiconductor,"0,100"
sinn und form,"0,100"
sixteenth century journal,"0,100"
skin research,"0,100"
slavia orientalis,"0,100"
slavic and east european journal,"0,100"
societes et representations,"0,100"
soins aides - soignantes,"0,100"
soudobe dejiny,"0,100"
southern humanities review,"0,100"
"special report - national research council, transportation research board","0,100"
stahl und eisen,"0,100"
strenae,"0,100"
strumenti critici,"0,100"
studi e problemi di critica testuale,"0,100"
studi francesi,"0,100"
studia polonijne,"0,100"
studia religiosa rossica,"0,100"
studies in american indian literatures,"0,100"
summaries of jssi and jsse joint conference on snow and ice research,"0,100"
svet literatury,"0,100"
tagliche praxis,"0,100"
taiwan review,"0,100"
tanz,"0,100"
technische sicherheit,"0,100"
technische textilien,"0,100"
tempo psicanalitico,"0,100"
temps des medias,"0,100"
teologinen aikakauskirja,"0,100"
terra sebus,"0,100"
text und kritik,"0,100"
textile outlook international,"0,100"
textile rental,"0,100"
textiles panamericanos,"0,100"
theleme,"0,100"
theologische beitrage,"0,100"
theologische literaturzeitung,"0,100"
theologische rundschau,"0,100"
tijdschrift voor bedrijfs- en verzekeringsgeneeskunde,"0,100"
twist,"0,100"
university of bucharest review,"0,100"
vasomed,"0,100"
veredas,"0,100"
viator - medieval and renaissance studies,"0,100"
virginia quarterly review,"0,100"
weimarer beitrage,"0,100"
woman's art journal,"0,100"
z badan nad ksiazka i ksiegozbiorami historycznymi,"0,100"
zeitschrift fur deutsches altertum und deutsche literatur,"0,100"
zeitschrift fur geschichtswissenschaft,"0,100"
zeitschrift fur kunstgeschichte,"0,100"
zivot umjetnosti,"0,100"
academic journal of interdisciplinary studies,
additive manufacturing frontiers,
advanced sensor and energy materials,
advances in applied mechanics,
advances in bioenergy,
advances in catalysis,
advances in chemical engineering,
"advances in chemical pollution, environmental management and protection",
advances in child development and behavior,
advances in computers,
"advances in culture, tourism and hospitality research",
advances in food and nutrition research,
advances in genetics,
advances in heat transfer,
advances in heterocyclic chemistry,
advances in immunology,
advances in inorganic chemistry,
advances in insect physiology,
advances in marine biology,
advances in motivation science,
advances in neurobiology,
advances in neurotoxicology,
advances in nonlinear variational inequalities,
advances in organometallic chemistry,
advances in parasitology,
advances in pharmacology,
"advances in science and engineering technology international conferences, aset",
advances in the study of behavior,
advances in virus research,
africa-europe group for interdisciplinary studies,
african social studies series,
ajo international,
alkaloids,
alternative therapies in health and medicine,
"american society of mechanical engineers, internal combustion engine division ice",
american surgeon,
animal science and food technology,
annals of computer science and intelligence systems,
annual acm symposium on parallelism in algorithms and architectures,
annual reports in computational chemistry,
annual reports in medicinal chemistry,
annual reports on nmr spectroscopy,
applied fruit science,
applied mathematics and nonlinear sciences,
architecture image studies,
aries book series,
asia pacific journal of social work and development,
asian journal of pharmaceutical and clinical research,
australian playwrights,
automobile technology,
autotestcon,
bali medical journal,
bmemat,
brill's inner asian library,
brill's series in the history of the environment,
brill's series on modern east asia in a global historical perspective,
brill's studies in catholic theology,
callaloo,
"catholic christendom, 1300-1700",
cell reports sustainability,
chemical engineering education,
chiasma,
chinesische medizin,
clinical infectology and parasitology,
coal international,
cognitive linguistic studies in cultural contexts,
commentaria,
comprehensive analytical chemistry,
computational and experimental methods in structures,
computer aided chemical engineering,
computer systems science and engineering,
computer-aided design and applications,
conference proceedings from the international symposium for testing and failure analysis,
conference record - industrial and commercial power systems technical conference,
"consciousness, literature and the arts",
contemporary studies in economic and financial analysis,
corporate board,
corporate governance and organizational behavior review,
cpem digest,
critical plant studies,
critical posthumanisms,
critical studies in german idealism,
croatian journal of food science and technology,
cuneiform monographs,
current problems in cardiology,
current topics in developmental biology,
current topics in membranes,
decarbon,
developments in clay science,
developments in environmental science,
dialogue studies,
digital medicine,
dionysius,
discover environment,
diyala journal of engineering sciences,
eai endorsed transactions on scalable information systems,
educational administration,
engineering materials,
enzymes,
epj web of conferences,
"esa workshop on satellite navigation technologies and european workshop on gnss signals and signal processing, navitec",
esprit,
european journal of medical research,
european review for medical and pharmacological sciences,
fertility and reproduction,
fish physiology,
food physics,
gastroenterology research,
genetics research,
geneva reports on the world economy,
geohazard mechanics,
geoplanet,
global privacy law review,
handbook of behavioral neuroscience,
handbook of clinical neurology,
handbook on the physics and chemistry of rare earths,
horizonte medico,
human cognitive processing,
icmmt - international conference on microwave and millimeter wave technology,
"ieee information technology, networking, electronic and automation control conference, itnec",
"ieee intelligent vehicles symposium, proceedings",
ieee international conference on program comprehension,
"ieee international workshop on factory communication systems - proceedings, wfcs",
ieee radiation effects data workshop,
"ieee workshop on signal processing advances in wireless communications, spawc",
"ieee/asme international conference on advanced intelligent mechatronics, aim",
imaging neuroscience,
indian journal of plastic surgery,
infectious diseases and clinical microbiology,
"intelec, international telecommunications energy conference",
intelligent automation and soft computing,
interface science and technology,
international computer science and engineering conference,
"international conference on computer, control, informatics and its applications, ic3ina",
"international conference on edemocracy and egovernment, icedeg",
"international conference on electrical engineering and photonics, eexpolytech",
"international conference on networking, architecture and storage, nas",
"international conference on power and energy applications, icpea",
"international conference on signal processing proceedings, icsp",
"international conference on simulation of semiconductor processes and devices, sispad",
international criminal law series,
international development policy,
international explorations in outdoor and environmental education,
"international ieee conference proceedings, is",
international journal of advanced media and communication,
"international journal of applied economics, finance and accounting",
international journal of divination and prognostication,
international journal of economics and financial issues,
international journal of experimental research and review,
international journal of information technologies and systems approach,
international journal of intelligent systems and applications in engineering,
international journal of pharmaceutical quality assurance,
international journal of public health science,
international journal of technology and globalisation,
international journal of wood culture,
international review of cell and molecular biology,
international review of management and marketing,
"international symposium on technology and society, proceedings",
"iranian conference on electrical engineering, icee",
islam in africa,
islamic literatures,
issues in hispanic and lusophone linguistics,
itms - international scientific conference on information technology and management science of riga technical university,
jewish latin america,
jingxi huagong/fine chemicals,
journal of anesthesia and translational medicine,
journal of angiotherapy,
journal of autonomous intelligence,
journal of biotech research,
journal of child and adolescent substance abuse,
journal of eastern european and central asian research,
journal of ecohumanism,
journal of electronic measurement and instrumentation,
"journal of electronics, electromedical engineering, and medical informatics",
journal of family research,
journal of health and translational medicine,
journal of higher education theory and practice,
"journal of infrastructure, policy and development",
journal of interconnection networks,
journal of liberty and international affairs,
"journal of logistics, informatics and service science",
journal of management world,
journal of mycology and infection,
journal of orthopaedic reports,
journal of rubber research,
journal of system and management sciences,
journal of the knowledge economy,
journal of trace elements and minerals,
journal of tropical crop science,
journal of wildlife and biodiversity,
jp journal of geometry and topology,
juridical tribune - review of comparative and international law,
jurnal arbitrer,
language learning and language teaching,
law in eastern europe,
lecture notes in educational technology,
legal transformation in muslim societies,
